"ID"  "date_added"  "date_ended"  "site"  "value"  "discount"  "sold"  "MerchantID"  "category"
"6637"  8105968  2012-04-11  2012-04-15  "Groupon"  185  52  50  284429  "Hair Salons"
"6638"  9726691  2012-06-25  2012-06-29  "Groupon"  60  50  170  50184  "Restaurants"
"6639"  10142527  2012-07-23  2012-07-28  "Groupon"  50  50  170  26857  "Spa"
"6640"  10606133  2012-08-09  2012-08-14  "Groupon"  60  50  170  40502  "Restaurants"
"6641"  11692575  2012-10-05  2012-10-11  "Groupon"  50  50  170  14151  "Kids"
"6642"  14573120  2012-12-31  2013-01-07  "Groupon"  50  50  170  23847  "Museums"
"6643"  15439603  2013-01-26  2013-02-01  "Groupon"  50  50  170  156677  "Women's Clothing"
"6644"  15896365  2013-01-28  2013-02-03  "Groupon"  150  84  170  202713  "Kids"
"6645"  16817250  2013-02-01  2013-02-07  "Groupon"  50  50  170  9650  "Restaurants"
"6646"  9190844  2012-06-06  2012-06-13  "LivingSocial"  50  52  426  237986  "Restaurants"
"6647"  69509  2011-04-13  2011-04-16  "Eversave"  150  56  28  8247  "Facials"
"6648"  94764  2011-05-20  2011-05-23  "Eversave"  10  50  364  54262  "Restaurants"
"6649"  8761446  2012-05-14  2012-05-16  "Eversave"  40  50  91  30790  "Restaurants"
"6650"  18527621  2013-03-06  2013-03-10  "Eversave"  40  50  91  67675  "Restaurants"
"6651"  4085238  2012-02-23  2012-02-26  "LivingSocial"  53  51  393  199215  "Nail Care"
"6652"  8178985  2012-04-18  2012-04-21  "LivingSocial"  179  78  262  35683  "Automotive"
"6653"  8897418  2012-05-22  2012-05-25  "LivingSocial"  30  50  681  467895  "Restaurants"
"6654"  60793  2011-03-28  2011-03-30  "Groupon"  80  50  106  37515  "Massage"
"6655"  18918053  2013-04-03  2013-04-10  "LivingSocial"  20  50  1021  764727  "Restaurants"
"6656"  17964245  2013-02-08  2013-02-15  "AmazonLocal"  60  50  88  727887  "Massage"
"6657"  1062183  2011-10-17  2011-10-18  "AmazonLocal"  15  53  377  178336  "Concerts"
"6658"  1685915  2011-11-22  2011-11-24  "AmazonLocal"  14  50  377  207870  "Restaurants"
"6659"  18180276  2013-02-19  2013-02-26  "AmazonLocal"  75  62  91  547417  "Outdoor Adventures"
"6660"  377608  2011-08-26  2011-08-29  "LivingSocial"  175  51  120  132299  "Hair Salons"
"6661"  1943796  2011-12-12  2011-12-15  "HomeRun"  120  50  10  211222  "Massage"
"6662"  90332  2011-05-13  2011-05-16  "DealFind"  85  54  55  52173  "Facials"
"6663"  1870994  2011-12-05  2011-12-09  "DealFind"  129  69  55  34950  "Teeth Whitening"
"6664"  81011  2011-04-29  2011-05-02  "Groupon"  90  50  94  468525  "Outdoor Adventures"
"6665"  135447  2011-07-01  2011-07-04  "Groupon"  14  50  604  75687  "Restaurants"
"6666"  3141232  2012-01-12  2012-01-15  "AmazonLocal"  36  50  146  26792  "Restaurants"
"6667"  715386  2011-09-15  2011-09-17  "LivingSocial"  40  50  508  112466  "Restaurants"
"6668"  14894656  2013-01-16  2013-01-27  "Travelzoo Local Deals"  146  46  121  534718  "Restaurants"
"6669"  1246378  2011-10-09  2011-10-13  "Groupon"  30  50  281  46973  "Outdoor Adventures"
"6670"  14621972  2013-01-08  2013-02-05  "LivingSocial"  279  50  73  649483  "Life Skills Classes"
"6671"  1708199  2011-11-23  2011-11-25  "DealFind"  250  64  24  209253  "Hair Salons"
"6672"  18959747  2013-04-08  2013-04-15  "LivingSocial"  200  76  207  204528  "Vision and Eye Care"
"6673"  9014544  2012-05-30  2012-06-02  "LivingSocial"  200  81  260  474338  "Skin Care"
"6674"  11005237  2012-09-03  2012-09-06  "LivingSocial"  317  79  156  171277  "Dental"
"6675"  2154219  2011-12-21  2011-12-23  "AmazonLocal"  51  62  138  231593  "Yoga"
"6676"  995292  2011-10-12  2011-10-14  "LivingSocial"  500  70  68  174974  "Teeth Whitening"
"6677"  15187369  2013-01-24  2013-01-31  "AmazonLocal"  40  50  131  530030  "Restaurants"
"6678"  8155280  2012-04-17  2012-04-24  "LivingSocial"  60  52  349  92770  "Waxing"
"6679"  127638  2011-06-24  2011-06-28  "Groupon"  75  53  120  31676  "Life Skills Classes"
"6680"  171713  2011-07-17  2011-07-20  "Groupon"  40  50  210  53913  "Women's Clothing"
"6681"  183564  2011-07-21  2011-07-25  "Groupon"  150  50  56  14142  "Facials"
"6682"  1246072  2011-10-07  2011-10-11  "Groupon"  92  50  105  126194  "Restaurants"
"6683"  1523925  2011-11-07  2011-11-12  "Groupon"  70  50  120  16766  "Restaurants"
"6684"  2079030  2011-12-18  2011-12-23  "Groupon"  200  75  84  228816  "Vision and Eye Care"
"6685"  3242123  2012-01-17  2012-01-22  "Groupon"  350  50  24  452228  "Automotive"
"6686"  3426099  2012-01-21  2012-01-25  "Groupon"  70  51  140  32170  "Restaurants"
"6687"  3802301  2012-02-06  2012-02-10  "Groupon"  40  50  210  30426  "Dessert"
"6688"  3979087  2012-02-11  2012-02-16  "Groupon"  300  52  30  20860  "Hair Salons"
"6689"  7216807  2012-03-15  2012-03-19  "Groupon"  80  50  120  408293  "Restaurants"
"6690"  8522713  2012-05-04  2012-05-08  "Groupon"  60  50  140  452889  "Wine Tasting"
"6691"  8671978  2012-05-10  2012-05-15  "Groupon"  85  58  120  457647  "Outdoor Adventures"
"6692"  9089630  2012-05-12  2012-05-16  "Groupon"  160  61  120  85383  "Dance Classes"
"6693"  9104300  2012-05-17  2012-05-21  "Groupon"  255  50  40  208000  "Facials"
"6694"  8969981  2012-05-27  2012-06-01  "Groupon"  90  53  100  264313  "Massage"
"6695"  9543415  2012-06-14  2012-06-20  "Groupon"  60  41  120  449676  "Tours"
"6696"  9499369  2012-06-23  2012-06-28  "Groupon"  70  78  280  464978  "Tours"
"6697"  10121033  2012-07-22  2012-07-27  "Groupon"  120  75  140  57836  "Yoga"
"6698"  10569599  2012-08-12  2012-08-17  "Groupon"  60  50  140  527743  "Massage"
"6699"  10628106  2012-08-15  2012-08-20  "Groupon"  28  64  420  3973  "Outdoor Adventures"
"6700"  10705048  2012-08-19  2012-08-24  "Groupon"  89  52  100  532240  "Automotive"
"6701"  10882282  2012-08-28  2012-09-02  "Groupon"  70  50  120  537802  "Massage"
"6702"  11129720  2012-09-04  2012-09-09  "Groupon"  220  86  120  41736  "Kids"
"6703"  11131363  2012-09-09  2012-09-14  "Groupon"  30  50  280  13833  "Restaurants"
"6704"  11174997  2012-09-11  2012-09-16  "Groupon"  30  50  280  257144  "Women's Clothing"
"6705"  11927327  2012-10-09  2012-10-16  "Groupon"  85  62  120  457647  "Outdoor Adventures"
"6706"  11817457  2012-10-11  2012-10-17  "Groupon"  73  53  120  231286  "Restaurants"
"6707"  12321473  2012-10-27  2012-11-01  "Groupon"  3000  50  3  100502  "Spa"
"6708"  12321867  2012-11-01  2012-11-07  "Groupon"  76  54  120  196160  "Hair Salons"
"6709"  12636235  2012-11-09  2012-11-14  "Groupon"  120  50  70  185308  "Restaurants"
"6710"  12612875  2012-11-13  2012-11-19  "Groupon"  40  50  210  593272  "Restaurants"
"6711"  13671733  2012-12-06  2012-12-13  "Groupon"  70  53  140  129774  "Spa"
"6712"  13594422  2012-12-11  2012-12-18  "Groupon"  76  54  120  18185  "Spa"
"6713"  14819188  2013-01-14  2013-01-14  "Groupon"  91  35  70  15861  "Shows"
"6714"  14819220  2013-01-14  2013-01-14  "Groupon"  91  35  70  15861  "Shows"
"6715"  18754641  2013-03-22  2013-03-28  "Groupon"  125  52  70  13347  "Spa"
"6716"  18973740  2013-04-04  2013-04-10  "Groupon"  40  51  210  765168  "Nail Care"
"6717"  19853694  2013-04-30  2013-05-07  "Groupon"  70  50  120  458612  "Pets"
"6718"  47633  2011-02-26  2011-03-01  "Eversave"  85  52  45  30900  "Hair Salons"
"6719"  905535  2011-10-04  2011-10-06  "Eversave"  65  62  72  30963  "Facials"
"6720"  19983364  2013-05-17  2013-05-21  "Eversave"  48  40  62  9207  "Outdoor Adventures"
"6721"  227482  2011-08-04  2011-08-11  "kgb deals"  20  60  4  106133  "Bars/Lounges"
"6722"  760561  2011-09-20  2011-09-26  "kgb deals"  20  60  4  156677  "Makeup"
"6723"  9766731  2012-07-06  2012-07-09  "AmazonLocal"  20  50  261  502678  "Dessert"
"6724"  18991809  2013-04-12  2013-04-19  "AmazonLocal"  30  50  174  769143  "Restaurants"
"6725"  3694510  2012-02-06  2012-02-09  "LivingSocial"  24  50  841  16310  "Outdoor Adventures"
"6726"  135456  2011-07-01  2011-07-07  "Groupon"  630  53  14  29662  "Travel"
"6727"  12275583  2012-10-30  2012-11-06  "LivingSocial"  60  50  336  167654  "Tanning"
"6728"  81032  2011-04-29  2011-05-02  "Groupon"  10  50  837  47347  "Restaurants"
"6729"  7237366  2012-03-20  2012-03-24  "DealFind"  300  93  106  16270  "Pilates"
"6730"  10288847  2012-07-30  2012-08-04  "Groupon"  43  48  190  518805  "Restaurants"
"6731"  20182371  2013-05-31  2013-06-07  "Groupon"  45  52  190  797676  "Life Skills Classes"
"6732"  8700979  2012-05-11  2012-05-14  "AmazonLocal"  200  75  52  458883  "Vision and Eye Care"
"6733"  3612579  2012-02-02  2012-02-05  "LivingSocial"  100  51  205  8812  "Life Skills Classes"
"6734"  11484724  2012-09-21  2012-09-26  "Groupon"  599  71  30  8396  "Spa"
"6735"  19923147  2013-05-13  2013-05-20  "LivingSocial"  1220  86  59  187894  "Waxing"
"6736"  713239  2011-09-15  2011-09-19  "Groupon"  130  62  85  33070  "Yoga"
"6737"  7306498  2012-03-23  2012-03-26  "Eversave"  30  50  119  415656  "Shows"
"6738"  7282948  2012-03-22  2012-03-26  "HomeRun"  20  50  59  28441  "Outdoor Adventures"
"6739"  152930  2011-07-10  2011-07-13  "Groupon"  40  53  219  264291  "Groceries"
"6740"  19013942  2013-04-11  2013-04-16  "Groupon"  104.5  51  80  755182  "Shows"
"6741"  19921217  2013-05-13  2013-05-18  "Groupon"  28  43  260  786896  "Tours"
"6742"  18991813  2013-04-12  2013-04-19  "AmazonLocal"  75  54  74  10104  "Men's Clothing"
"6743"  19865058  2013-05-08  2013-05-22  "AmazonLocal"  370  50  14  465049  "Travel"
"6744"  2511269  2011-12-30  2012-01-02  "Eversave"  300  67  18  246356  "Hair Salons"
"6745"  245280  2011-08-09  2011-08-10  "LivingSocial"  116  53  182  111319  "Nail Care"
"6746"  11745867  2012-10-08  2012-10-15  "CBS Local"  50  50  68  562194  "Outdoor Adventures"
"6747"  1946694  2011-12-12  2011-12-15  "LivingSocial"  50  50  400  31556  "Restaurants"
"6748"  10084814  2012-07-20  2012-07-23  "LivingSocial"  40  50  500  512634  "Restaurants"
"6749"  11673577  2012-10-04  2012-10-26  "LivingSocial"  16  50  1250  7923  "Outdoor Adventures"
"6750"  13598936  2012-12-11  2012-12-18  "LivingSocial"  85  53  250  129774  "Massage"
"6751"  12640104  2012-11-14  2012-12-23  "LivingSocial"  50  50  400  168720  "Shows"
"6752"  52268  2011-03-10  2011-03-12  "Groupon"  20  50  415  33381  "Restaurants"
"6753"  857739  2011-08-05  2011-08-08  "Groupon"  20  53  415  107185  "Restaurants"
"6754"  11445479  2012-09-24  2012-09-29  "LivingSocial"  30  50  666  476775  "Tours"
"6755"  12274265  2012-10-30  2012-11-06  "AmazonLocal"  60  50  86  218086  "Tanning"
"6756"  94266  2011-05-19  2011-05-20  "LivingSocial"  30  50  665  54130  "Restaurants"
"6757"  974255  2011-10-11  2011-10-13  "LivingSocial"  50  50  399  84125  "Restaurants"
"6758"  139314  2011-07-05  2011-07-06  "LivingSocial"  120  51  169  77560  "Home Services"
"6759"  9873113  2012-07-06  2012-07-12  "Groupon"  44  54  230  249035  "Outdoor Adventures"
"6760"  10512091  2012-08-09  2012-08-16  "Groupon"  200  65  60  20860  "Spa"
"6761"  11485649  2012-09-26  2012-10-01  "Groupon"  120  61  90  6573  "Massage"
"6762"  11635592  2012-09-27  2012-10-03  "Groupon"  175  55  60  540076  "Spa"
"6763"  11692469  2012-10-05  2012-10-13  "Groupon"  36  50  230  563539  "Outdoor Adventures"
"6764"  11772068  2012-10-09  2012-10-14  "Groupon"  76  40  90  423629  "Sports Tickets"
"6765"  11895621  2012-10-09  2012-10-15  "Groupon"  200  67  60  61146  "Automotive"
"6766"  13207154  2012-11-30  2012-12-07  "Groupon"  140  51  60  30483  "Spa"
"6767"  18669205  2013-03-10  2013-03-16  "Groupon"  210  60  60  594811  "Yoga"
"6768"  102034  2011-05-31  2011-06-10  "Travelzoo Local Deals"  77  55  268  11861  "Restaurants"
"6769"  11777  2010-10-06  2010-10-07  "LivingSocial"  80  50  249  9339  "Home Services"
"6770"  8913026  2012-05-23  2012-05-26  "AmazonLocal"  60  58  103  119650  "Yoga"
"6771"  10652911  2012-08-16  2012-08-21  "LivingSocial"  99  51  203  484993  "Life Skills Classes"
"6772"  10189682  2012-07-20  2012-07-25  "Groupon"  220  64  70  161809  "Gym"
"6773"  10533267  2012-08-05  2012-08-10  "Groupon"  600  87  70  523005  "Dental"
"6774"  11067249  2012-09-01  2012-09-06  "Groupon"  180  62  70  7578  "Yoga"
"6775"  14195260  2012-12-27  2013-01-02  "Groupon"  175  67  70  30145  "Automotive"
"6776"  15022561  2013-01-20  2013-01-20  "Groupon"  160  56  70  148130  "Yoga"
"6777"  18090999  2013-02-07  2013-02-13  "Groupon"  121.5  53  70  727083  "Restaurants"
"6778"  2438  2010-04-16  2010-04-18  "LivingSocial"  45  51  452  12151  "Facials"
"6779"  11954090  2012-10-17  2012-10-21  "HomeRun"  250  82  13  32422  "Vision and Eye Care"
"6780"  13949066  2012-12-20  2012-12-24  "HomeRun"  80  52  15  256170  "Automotive"
"6781"  195320  2011-07-26  2011-07-29  "Groupon"  125  56  75  96680  "Facials"
"6782"  192464  2011-07-25  2011-08-01  "Groupon"  250  50  33  95533  "Home Services"
"6783"  234923  2011-08-06  2011-08-09  "Groupon"  30  50  275  14143  "Kids"
"6784"  18287685  2013-02-26  2013-03-04  "Groupon"  37.5  50  220  45033  "Restaurants"
"6785"  3442964  2012-01-26  2012-01-29  "AmazonLocal"  34  50  151  261407  "Shows"
"6786"  215743  2011-08-01  2011-08-02  "LivingSocial"  80  50  248  102585  "Massage"
"6787"  7866869  2012-04-05  2012-04-08  "AmazonLocal"  30  50  171  32170  "Restaurants"
"6788"  245147  2011-08-09  2011-08-10  "DealFind"  50  52  87  50636  "Outdoor Adventures"
"6789"  40294  2011-02-06  2011-02-07  "Groupon"  250  80  84  11033  "Dance Classes"
"6790"  857823  2011-08-27  2011-08-31  "Groupon"  150  61  84  133072  "Makeup"
"6791"  2175487  2011-12-22  2011-12-24  "Eversave"  99  50  36  428618  "Automotive"
"6792"  10491538  2012-08-08  2012-08-12  "HomeRun"  11  50  106  406384  "Restaurants"
"6793"  3399149  2012-01-24  2012-01-27  "LivingSocial"  328  76  127  13632  "Teeth Whitening"
"6794"  465847  2011-09-02  2011-09-05  "LivingSocial"  75  60  330  139997  "Facials"
"6795"  9085397  2012-06-04  2012-06-11  "LivingSocial"  300  50  66  478050  "Life Skills Classes"
"6796"  11842703  2012-10-12  2012-10-19  "LivingSocial"  180  50  110  41415  "Automotive"
"6797"  20122873  2013-05-28  2013-06-08  "LivingSocial"  15  53  1413  802336  "Shows"
"6798"  25520  2010-12-16  2010-12-17  "LivingSocial"  74  56  309  18338  "Nail Care"
"6799"  8174457  2012-04-18  2012-04-20  "Eversave"  80  50  44  261228  "Hair Salons"
"6800"  8942  2010-08-31  2010-09-02  "Groupon"  12  50  684  8858  "Museums"
"6801"  85811  2011-05-07  2011-05-12  "Groupon"  456  50  18  49821  "Travel"
"6802"  12823507  2012-11-20  2012-11-27  "LivingSocial"  57  53  366  57407  "Photography"
"6803"  19040175  2013-04-19  2013-04-25  "AmazonLocal"  90  62  73  154146  "Hair Salons"
"6804"  206168  2011-07-29  2011-08-01  "LivingSocial"  130  50  152  100385  "Home Services"
"6805"  7150032  2012-03-15  2012-03-16  "DealFind"  650  84  21  13934  "Skin Care"
"6806"  79524  2011-04-27  2011-05-01  "Groupon"  10  50  820  46544  "Museums"
"6807"  857913  2011-09-14  2011-09-18  "Groupon"  360  81  82  51470  "Life Skills Classes"
"6808"  1904224  2011-11-17  2011-11-17  "Groupon"  100  50  82  212403  "Groceries"
"6809"  1248541  2011-10-17  2011-10-21  "Groupon"  95  54  91  75693  "Facials"
"6810"  7973866  2012-04-10  2012-04-13  "HomeRun"  20  50  58  15160  "Men's Clothing"
"6811"  11838409  2012-10-12  2012-10-16  "HomeRun"  75  62  20  30963  "Hair Salons"
"6812"  20108947  2013-05-27  2013-06-03  "AmazonLocal"  250  81  52  29362  "Vision and Eye Care"
"6813"  10885498  2012-08-28  2012-08-31  "AmazonLocal"  51  62  134  231593  "Fitness Classes"
"6814"  380391  2011-08-26  2011-09-07  "Travelzoo Local Deals"  122  52  157  84125  "Restaurants"
"6815"  9215086  2012-06-06  2012-06-15  "Travelzoo Local Deals"  130  55  157  27561  "Outdoor Adventures"
"6816"  16561836  2013-01-31  2013-02-04  "Eversave"  35  52  103  156651  "Life Skills Classes"
"6817"  47817  2011-02-27  2011-03-01  "Groupon"  290  91  170  30988  "Yoga"
"6818"  2468082  2011-12-28  2012-01-02  "Groupon"  35  51  240  244974  "Concerts"
"6819"  18866791  2013-03-30  2013-04-06  "Groupon"  70  52  120  760318  "Golf"
"6820"  18947580  2013-04-06  2013-04-12  "Groupon"  12  50  680  119626  "Restaurants"
"6821"  130601  2011-06-27  2011-06-28  "DealFind"  229  82  53  67316  "Photography"
"6822"  18195983  2013-02-20  2013-02-27  "AmazonLocal"  30  50  169  53643  "Restaurants"
"6823"  18916993  2013-04-03  2013-04-10  "AmazonLocal"  100  61  65  15435  "Home Services"
"6824"  11323876  2012-09-18  2012-09-25  "LivingSocial"  205  52  99  49576  "Spa"
"6825"  11090280  2012-09-07  2012-09-12  "Groupon"  75  50  110  15942  "Life Skills Classes"
"6826"  13948649  2012-12-20  2012-12-26  "Groupon"  75  51  110  625300  "Massage"
"6827"  1894259  2011-12-07  2011-12-09  "AmazonLocal"  15  53  362  220073  "Restaurants"
"6828"  20077888  2013-05-24  2013-05-31  "AmazonLocal"  400  63  17  800413  "Dental"
"6829"  11467693  2012-09-25  2012-09-28  "LivingSocial"  30  50  652  52377  "Restaurants"
"6830"  147743  2011-07-08  2011-07-11  "Groupon"  28  50  290  80522  "Outdoor Adventures"
"6831"  9113931  2012-05-20  2012-05-25  "Groupon"  32  50  290  39428  "Tours"
"6832"  13405137  2012-12-06  2012-12-13  "Groupon"  96  40  70  5271  "Outdoor Adventures"
"6833"  20117869  2013-05-22  2013-05-28  "Groupon"  110.5  53  70  798863  "Restaurants"
"6834"  17881064  2013-02-06  2013-02-13  "AmazonLocal"  34  53  158  260866  "Dessert"
"6835"  3939657  2012-02-15  2012-02-18  "HomeRun"  75  66  23  27031  "Yoga"
"6836"  8320861  2012-04-25  2012-04-28  "HomeRun"  60  58  23  53631  "Fitness Classes"
"6837"  105586  2011-06-06  2011-06-08  "LivingSocial"  90  50  217  59468  "Yoga"
"6838"  18245446  2013-02-23  2013-03-02  "AmazonLocal"  75  67  101  27031  "Yoga"
"6839"  10632136  2012-08-15  2012-08-20  "LivingSocial"  85  53  244  129774  "Massage"
"6840"  14145  2010-10-24  2010-10-25  "Groupon"  30  50  270  12027  "Restaurants"
"6841"  66396  2011-04-07  2011-04-08  "Groupon"  30  50  270  40488  "Restaurants"
"6842"  212194  2011-07-31  2011-08-02  "Groupon"  30  50  270  101492  "Kids"
"6843"  3356728  2012-01-18  2012-01-22  "Groupon"  100  50  90  27581  "Restaurants"
"6844"  3511750  2012-01-29  2012-02-03  "Groupon"  275  50  30  38175  "Outdoor Adventures"
"6845"  8222386  2012-04-20  2012-04-24  "Groupon"  30  50  270  441029  "Restaurants"
"6846"  8894818  2012-05-22  2012-05-26  "Groupon"  110  59  90  191985  "Massage"
"6847"  9432549  2012-06-19  2012-06-23  "Groupon"  130  65  90  167769  "Yoga"
"6848"  9685550  2012-07-03  2012-07-08  "Groupon"  31  51  270  500544  "Restaurants"
"6849"  9873137  2012-07-08  2012-07-12  "Groupon"  100  50  90  26792  "Restaurants"
"6850"  10689535  2012-08-13  2012-08-18  "Groupon"  104  51  90  89115  "Golf"
"6851"  11296404  2012-09-12  2012-09-17  "Groupon"  285  52  30  547179  "Massage"
"6852"  11691524  2012-09-29  2012-10-05  "Groupon"  25  40  270  13222  "Restaurants"
"6853"  13714204  2012-12-14  2012-12-14  "Groupon"  100  50  90  132299  "Hair Salons"
"6854"  13866077  2012-12-11  2012-12-18  "Groupon"  90  54  90  18185  "Spa"
"6855"  14231935  2012-12-28  2013-01-03  "Groupon"  34  56  270  549165  "Restaurants"
"6856"  14962794  2013-01-18  2013-01-24  "Groupon"  95  53  90  271623  "Massage"
"6857"  15144189  2013-01-23  2013-01-29  "Groupon"  30  50  270  33107  "Restaurants"
"6858"  18822004  2013-03-27  2013-04-02  "Groupon"  90  50  90  43951  "Women's Clothing"
"6859"  20212987  2013-05-27  2013-06-02  "Groupon"  30  50  270  801564  "Restaurants"
"6860"  4227140  2012-02-24  2012-02-27  "AmazonLocal"  20  50  252  39186  "Restaurants"
"6861"  15398547  2013-01-18  2013-01-26  "Groupon"  4000  86  9  11239  "Spa"
"6862"  19845807  2013-05-07  2013-05-19  "Travelzoo Local Deals"  158  63  155  517556  "Outdoor Adventures"
"6863"  12822572  2012-11-20  2012-11-27  "AmazonLocal"  57  53  93  57407  "Photography"
"6864"  266396  2011-08-15  2011-08-18  "Groupon"  20  50  403  767970  "Restaurants"
"6865"  11299172  2012-09-17  2012-09-18  "Groupon"  30  56  310  532240  "Automotive"
"6866"  18492984  2013-03-04  2013-03-11  "LivingSocial"  28  50  693  80522  "Outdoor Adventures"
"6867"  3092691  2012-01-05  2012-01-10  "Groupon"  350  53  23  3430  "Hair Salons"
"6868"  46422  2011-02-23  2011-02-25  "Groupon"  20  50  402  30195  "Golf"
"6869"  409129  2011-08-29  2011-09-03  "Groupon"  120  50  67  25608  "Shows"
"6870"  125790  2011-06-22  2011-06-24  "LivingSocial"  30  50  645  70792  "Restaurants"
"6871"  3069303  2012-01-09  2012-01-12  "AmazonLocal"  200  75  50  80527  "Vision and Eye Care"
"6872"  10054281  2012-07-19  2012-07-22  "AmazonLocal"  85  54  64  129514  "Massage"
"6873"  13275905  2012-12-03  2012-12-09  "AmazonLocal"  100  61  64  15435  "Home Services"
"6874"  14403531  2013-01-02  2013-01-09  "AmazonLocal"  65  51  78  201377  "Nail Care"
"6875"  916201  2011-10-05  2011-10-09  "Groupon"  90  50  89  169405  "Facials"
"6876"  41212  2011-02-09  2011-02-10  "Groupon"  400  50  20  27250  "Facials"
"6877"  115505  2011-06-14  2011-06-17  "Groupon"  80  50  100  65149  "Pilates"
"6878"  1999061  2011-12-15  2011-12-20  "Groupon"  80  50  100  226310  "Skiing"
"6879"  2422377  2011-12-26  2011-12-30  "Groupon"  50  50  160  156677  "Makeup"
"6880"  3117563  2012-01-06  2012-01-11  "Groupon"  100  50  100  229738  "Kids"
"6881"  3142698  2012-01-08  2012-01-12  "Groupon"  125  50  80  131346  "Women's Clothing"
"6882"  3487100  2012-01-24  2012-01-28  "Groupon"  125  53  80  260012  "Groceries"
"6883"  3636400  2012-01-29  2012-02-03  "Groupon"  400  50  20  38175  "Outdoor Adventures"
"6884"  7472606  2012-03-24  2012-03-30  "Groupon"  400  50  20  38175  "Outdoor Adventures"
"6885"  9096630  2012-05-15  2012-05-19  "Groupon"  111  51  80  114948  "Restaurants"
"6886"  9113426  2012-05-20  2012-05-25  "Groupon"  110  51  80  465891  "Massage"
"6887"  9369400  2012-06-08  2012-06-13  "Groupon"  225  77  80  204528  "Vision and Eye Care"
"6888"  9380446  2012-06-11  2012-06-15  "Groupon"  220  79  100  36633  "Yoga"
"6889"  9310551  2012-06-13  2012-06-18  "Groupon"  99  49  80  484993  "Life Skills Classes"
"6890"  9628113  2012-06-29  2012-07-04  "Groupon"  53  52  160  125876  "Restaurants"
"6891"  9822316  2012-07-05  2012-07-10  "Groupon"  85  57  100  10683  "Massage"
"6892"  9903697  2012-07-08  2012-07-13  "Groupon"  85  52  100  283128  "Massage"
"6893"  9903699  2012-07-08  2012-07-13  "Groupon"  255  52  40  283128  "Massage"
"6894"  11532418  2012-09-28  2012-10-03  "Groupon"  115  56  80  4709  "Makeup"
"6895"  13037348  2012-11-26  2012-12-02  "Groupon"  170  86  160  287495  "Home Services"
"6896"  13638491  2012-12-12  2012-12-17  "Groupon"  8  50  1000  467084  "Restaurants"
"6897"  18194124  2013-02-20  2013-02-26  "Groupon"  50  50  160  734422  "Restaurants"
"6898"  18888339  2013-04-01  2013-04-09  "Groupon"  42  41  160  50975  "Travel"
"6899"  20028494  2013-05-21  2013-05-27  "Groupon"  50  50  160  62617  "Kids"
"6900"  20119059  2013-05-28  2013-06-01  "Groupon"  350  95  200  247158  "Fitness Classes"
"6901"  2994084  2012-01-05  2012-01-09  "DealFind"  380  89  52  56774  "Dental"
"6902"  10079928  2012-07-12  2012-07-20  "Groupon"  14800  72  1  506578  "Dental"
"6903"  9880043  2012-07-12  2012-07-19  "LivingSocial"  215  50  90  126798  "Kids"
"6904"  746206  2011-09-19  2011-09-24  "Groupon"  1999  50  4  154540  "Spa"
"6905"  13821953  2012-12-17  2012-12-24  "AmazonLocal"  70  50  71  635562  "Chiropractor"
"6906"  14337803  2012-12-31  2013-01-07  "AmazonLocal"  70  50  71  256170  "Automotive"
"6907"  19441647  2013-05-01  2013-05-08  "AmazonLocal"  80  57  71  7227  "Massage"
"6908"  1008552  2011-10-13  2011-10-17  "Groupon"  800  50  10  15378  "Facials"
"6909"  7168746  2012-03-12  2012-03-16  "Groupon"  900  50  10  405292  "Outdoor Adventures"
"6910"  8525428  2012-04-26  2012-05-04  "Groupon"  1500  77  10  445959  "Chiropractor"
"6911"  10255458  2012-07-28  2012-08-02  "Groupon"  43  51  190  72766  "Outdoor Adventures"
"6912"  11976682  2012-10-12  2012-10-18  "Groupon"  550  50  10  568136  "Facials"
"6913"  14448361  2013-01-03  2013-01-03  "Groupon"  2200  73  10  24980  "Spa"
"6914"  11323882  2012-09-18  2012-09-25  "LivingSocial"  300  67  97  15598  "Spa"
"6915"  13486252  2012-12-08  2012-12-15  "AmazonLocal"  40  50  124  221913  "Life Skills Classes"
"6916"  14061465  2012-12-23  2012-12-30  "AmazonLocal"  45  56  124  639376  "Skiing"
"6917"  1894664  2011-12-07  2011-12-10  "LivingSocial"  30  50  639  52377  "Restaurants"
"6918"  1829716  2011-11-27  2011-11-30  "Groupon"  400  58  20  10093  "Fitness Classes"
"6919"  3942736  2012-02-10  2012-02-15  "Groupon"  415  55  20  270503  "Outdoor Adventures"
"6920"  8106004  2012-04-11  2012-04-15  "Groupon"  400  52  20  284429  "Hair Salons"
"6921"  8326989  2012-04-20  2012-04-25  "Groupon"  400  50  20  166231  "Nail Care"
"6922"  10491592  2012-08-08  2012-08-13  "Groupon"  920  78  20  37375  "Skin Care"
"6923"  11552161  2012-09-29  2012-10-04  "Groupon"  478  58  20  29662  "Travel"
"6924"  12074864  2012-10-16  2012-10-23  "Groupon"  2100  87  20  15032  "Spa"
"6925"  13671622  2012-12-05  2012-12-13  "Groupon"  7900  91  4  269465  "Waxing"
"6926"  18990011  2013-04-05  2013-04-12  "Groupon"  480  51  20  316057  "Restaurants"
"6927"  1211022  2011-10-26  2011-10-27  "AmazonLocal"  85  50  59  186675  "Facials"
"6928"  19971745  2013-05-16  2013-05-22  "AmazonLocal"  10  50  495  266041  "Dessert"
